Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Zonas,Categoria,Optional Column
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:38:59,00:39:05,6.000,,Volver,,7,18,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:39:04,00:39:10,6.000,,21,9,7,23,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:39:04,00:39:10,6.000,,21,9,7,23,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:39:09,00:39:15,6.000,,Volver,,7,23,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Remate pie,,00:39:10,00:39:16,6.000,,Volver,,5,17,Remate bloqueado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:39:10,00:39:16,6.000,,Volver,,5,17,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:39:13,00:39:19,6.000,,Volver,,4,17,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:39:32,00:39:38,6.000,,13,11,10,11,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:39:35,00:39:41,6.000,,13,11,10,11,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Falta,,00:40:16,00:40:22,6.000,,Volver,,10,7,Recibida,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:40:24,00:40:30,6.000,,8,6,3,7,Tiro libre,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:40:31,00:40:37,6.000,,12,5,6,8,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:40:32,00:40:38,6.000,,12,5,6,8,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Gol rival,,00:40:43,00:40:49,6.000,,Volver,,,4,Indirecta,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Arquero,,00:40:43,00:40:49,6.000,,Volver,,1,3,Remate atajable,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:41:56,00:42:02,6.000,,23,7,10,17,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Duelo,,00:42:04,00:42:10,6.000,,Volver,,7,23,Gambeta a favor,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:42:08,00:42:14,6.000,,Volver,,7,21,Duelo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:42:13,00:42:19,6.000,,Volver,,4,18,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:42:14,00:42:20,6.000,,18,8,4,18,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:42:19,00:42:25,6.000,,24,7,8,18,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:42:23,00:42:29,6.000,,21,11,7,24,centro aereo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:42:25,00:42:31,6.000,,20,11,7,24,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:42:29,00:42:35,6.000,,17,8,10,16,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:42:32,00:42:38,6.000,,17,5,8,17,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:42:36,00:42:42,6.000,,18,7,8,17,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Duelo,,00:42:42,00:42:48,6.000,,Volver,,7,24,Disputa suelo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:43:35,00:43:41,6.000,,18,7,8,11,inteligente,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:43:41,00:43:47,6.000,,21,9,7,23,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:43:41,00:43:47,6.000,,Volver,,7,23,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:44:10,00:44:16,6.000,,Volver,,2,8,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:12,00:44:18,6.000,,7,3,2,8,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:44:14,00:44:20,6.000,,7,3,2,7,corto,
