Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Jugador2,Zonas_final,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:52:01,00:52:01,0.000,,,Volver,,3,1,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:09,00:52:09,0.000,,2,9,,12,4,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:14,00:52:14,0.000,,5,8,,9,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:21,00:52:21,0.000,,6,10,,8,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:23,00:52:23,0.000,,5,11,,10,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:25,00:52:25,0.000,,2,9,,11,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:29,00:52:29,0.000,,4,15,,9,2,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:46,00:52:46,0.000,,8,14,,15,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:49,00:52:49,0.000,,3,13,,14,8,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:52,00:52:52,0.000,,8,13,,13,3,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:52:59,00:52:59,0.000,,7,16,,16,8,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:53:15,00:53:15,0.000,,2,14,,13,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:53:18,00:53:18,0.000,,4,18,,14,2,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:53:21,00:53:21,0.000,,11,21,,18,4,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:53:30,00:53:30,0.000,,5,17,,17,11,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:53:32,00:53:32,0.000,,3,13,,14,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:53:33,00:53:33,0.000,,7,16,,13,3,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:53:36,00:53:36,0.000,,9,21,,16,7,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Remate cabeza,,00:53:36,00:53:36,0.000,,Rival,22,,21,9,Facil,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:55:55,00:55:55,0.000,,6,7,,8,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:55:58,00:55:58,0.000,,3,10,,7,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:56:00,00:56:00,0.000,,8,10,,10,3,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:56:09,00:56:09,0.000,,2,12,,11,8,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:56:11,00:56:11,0.000,,4,15,,12,2,corto,
