Partido,Situacion,Evento,Subevento,Tiempo_inicial,Tiempo_final,Jugador,Zonas_Inicial,Zonas_Final
Independiente,A favor,Pase corto,Ataque combinado,00:16:54,00:17:00,11,9,9
Independiente,A favor,Remate atajado,Ataque combinado,00:16:57,00:17:03,9,9,8
Independiente,A favor,Pase corto,Ataque combinado,00:19:44,00:19:50,2,5,5
Independiente,A favor,Pase corto,Ataque combinado,00:19:47,00:19:57,8,5,6
Independiente,A favor,Centro,Ataque combinado,00:19:58,00:20:04,4,6,8
Independiente,A favor,Remate atajado,Ataque combinado,00:20:01,00:20:07,9,8,8
Independiente,A favor,Tiro libre,Pelota Parada,00:29:06,00:29:13,5,8,Volver
Independiente,A favor,Remate atajado,Pelota Parada,00:29:11,00:29:17,5,5,8
Independiente,A favor,Penal,Pelota Parada,00:29:20,00:29:26,2,8,Volver
Independiente,A favor,Penal,Pelota Parada,00:30:31,00:30:37,9,8,Volver
Independiente,A favor,Gol,Pelota Parada,00:31:12,00:31:18,9,8,Volver
Independiente,A favor,Corner,Pelota Parada,00:33:25,00:33:31,10,9,8
Independiente,A favor,Remate atajado,Pelota Parada,00:33:31,00:33:37,2,8,8
Independiente,A favor,Pase corto,Ataque combinado,00:36:54,00:37:00,5,5,5
Independiente,A favor,Pase corto,Ataque combinado,00:37:00,00:37:06,4,6,9
Independiente,A favor,Centro,Ataque combinado,00:37:05,00:37:17,11,9,8
Independiente,A favor,Disputa aereo,Ataque combinado,00:37:14,00:37:20,9,8,Volver
Independiente,A favor,Gol,Ataque combinado,00:37:21,00:37:27,9,8,Volver
Independiente,A favor,Recuperacion,Ataque Directo,00:43:02,00:43:08,3,4,7
Independiente,A favor,Pase largo,Ataque Directo,00:43:08,00:43:14,3,7,8
Independiente,A favor,Pase corto,Ataque Directo,00:43:12,00:43:23,9,8,9
Independiente,A favor,Remate pie,Ataque Directo,00:43:21,00:43:27,11,9,8
Independiente,A favor,Gol,Ataque Directo,00:43:25,00:43:31,11,8,Volver
Independiente,En contra,Tiro libre,Pelota Parada,00:47:39,00:47:45,Rival,7,Volver
Independiente,En contra,Remate atajado,Pelota Parada,00:48:27,00:48:33,Rival,7,8
Independiente,En contra,Recuperacion,Pelota Parada,00:49:09,00:49:15,Rival,7,Volver
Independiente,En contra,Penal,Pelota Parada,00:49:24,00:49:30,11,7,Volver
Independiente,En contra,Penal,Pelota Parada,00:49:43,00:49:49,Rival,8,Volver
Independiente,En contra,Remate atajado,Pelota Parada,00:49:53,00:49:59,Rival,8,8
Independiente,En contra,Remate pie,Pelota Parada,00:49:59,00:50:05,Rival,8,8
Independiente,En contra,Gol,Pelota Parada,00:50:06,00:50:12,Rival,8,Volver
Independiente,A favor,Disputa aereo,Ataque combinado,01:10:14,01:10:20,10,6,6
Independiente,A favor,Pase corto,Ataque combinado,01:10:18,01:10:24,11,6,9
Independiente,A favor,Remate atajado,Ataque combinado,01:10:22,01:10:28,9,9,8
Independiente,En contra,Corner,Pelota Parada,01:12:19,01:12:25,Rival,7,Volver
Independiente,En contra,Centro,Pelota Parada,01:12:37,01:12:43,Rival,7,8
Independiente,En contra,Remate pie,Pelota Parada,01:12:41,01:12:47,Rival,8,8
Independiente,En contra,Gol,Pelota Parada,01:12:44,01:12:50,Rival,8,Volver
Independiente,A favor,Corner,Pelota Parada,01:33:26,01:33:32,10,9,Volver
Independiente,A favor,Centro,Pelota Parada,01:33:30,01:33:36,10,9,8
Independiente,A favor,Remate bloq,Pelota Parada,01:33:35,01:33:41,6,8,8
Independiente,A favor,Corner,Pelota Parada,01:42:55,01:43:01,10,9,Volver
Independiente,A favor,Centro,Pelota Parada,01:43:00,01:43:08,10,9,8
Independiente,A favor,Remate atajado,Pelota Parada,01:43:06,01:43:12,6,8,8
Independiente,A favor,Pase corto,Ataque combinado,01:48:07,01:48:13,6,2,4
