Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Calificacion,Dificultad,Optional Column
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:30:23,00:30:23,0.000,12,Recibida,,10,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:30:52,00:30:52,0.000,12,Tiro libre,9,2,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:30:53,00:30:53,0.000,12,Error tecnico,,2,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:30:58,00:30:58,0.000,18,Encontrada,,7,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:31:00,00:31:00,0.000,18,corto,4,7,24,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:31:04,00:31:04,0.000,24,medio,9,4,21,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:31:05,00:31:05,0.000,24,Interceptado,9,4,21,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:31:11,00:31:11,0.000,11,Robo,,6,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:31:13,00:31:13,0.000,11,corto,5,6,11,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:31:13,00:31:13,0.000,11,corto,2,5,11,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:31:15,00:31:15,0.000,11,medio,Rival,2,14,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:31:16,00:31:16,0.000,11,Error tecnico,,2,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:32:35,00:32:35,0.000,11,Recibida,,10,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:32:46,00:32:46,0.000,8,Tiro libre,5,2,11,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:32:48,00:32:48,0.000,11,corto,2,5,8,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:32:50,00:32:50,0.000,8,corto,5,2,11,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:32:52,00:32:52,0.000,11,medio,7,5,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Duelo,,00:32:55,00:32:55,0.000,18,Gambeta a favor,,7,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:32:56,00:32:56,0.000,18,Duelo,,7,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:33:16,00:33:16,0.000,18,Lateral largo,7,4,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:33:18,00:33:18,0.000,18,corto,8,7,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:33:20,00:33:20,0.000,15,corto,5,8,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:33:21,00:33:21,0.000,15,corto,4,5,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:33:23,00:33:23,0.000,15,corto,2,4,12,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:33:26,00:33:26,0.000,12,corto,6,2,11,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:33:28,00:33:28,0.000,11,inteligente,4,6,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:33:32,00:33:32,0.000,18,centro aereo,Rival,4,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:33:33,00:33:33,0.000,18,Interceptado,,4,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:33:36,00:33:36,0.000,17,Encontrada,,10,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:33:38,00:33:38,0.000,17,corto,11,10,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:33:41,00:33:41,0.000,17,Robo,,11,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:33:47,00:33:47,0.000,14,Hecha,,6,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Arquero,,00:34:34,00:34:34,0.000,3,Remate atajable,,1,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:35:25,00:35:25,0.000,8,Recibida,,2,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:35:57,00:35:57,0.000,8,Tiro libre,Rival,1,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:35:58,00:35:58,0.000,8,Interceptado,,1,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Arquero,,00:36:42,00:36:42,0.000,3,Salvada/Atajada,,1,Volver,,Media,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:36:46,00:36:46,0.000,5,Encontrada,,4,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:36:50,00:36:50,0.000,5,largo,9,4,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:36:50,00:36:50,0.000,15,Duelo,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:36:52,00:36:52,0.000,15,Hecha,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:37:15,00:37:15,0.000,5,Intercepcion,,2,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:37:19,00:37:19,0.000,4,largo,Rival,6,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:37:20,00:37:20,0.000,4,Interceptado,,6,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:38:32,00:38:32,0.000,14,corto,4,7,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:38:38,00:38:38,0.000,15,largo,8,4,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:38:39,00:38:39,0.000,15,Interceptado,,4,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:38:50,00:38:50,0.000,13,Hecha,,8,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Tarjeta,,00:38:53,00:38:53,0.000,13,Amarilla,,8,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:39:23,00:39:23,0.000,12,Robo,,7,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:39:31,00:39:31,0.000,9,corto,10,7,12,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:39:33,00:39:33,0.000,12,corto,7,10,12,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Duelo,,00:39:39,00:39:39,0.000,15,Disputa suelo,,7,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:39:39,00:39:39,0.000,15,Robo,,7,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:40:04,00:40:04,0.000,15,Lateral largo,9,4,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:40:06,00:40:06,0.000,18,corto,11,9,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:40:08,00:40:08,0.000,18,corto,7,11,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:40:11,00:40:11,0.000,18,Error tecnico,,11,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:40:31,00:40:31,0.000,14,corto,3,10,11,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:40:34,00:40:34,0.000,11,largo,8,3,16,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:40:37,00:40:37,0.000,11,Balon afuera lateral,8,3,16,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:40:51,00:40:51,0.000,8,Hecha,,6,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Tarjeta,,00:41:06,00:41:06,0.000,8,Amarilla,,6,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:42:04,00:42:04,0.000,3,S arquero pie,10,1,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:42:12,00:42:12,0.000,16,Encontrada,,10,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:43:37,00:43:37,0.000,15,Lateral largo,10,4,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Duelo,,00:43:43,00:43:43,0.000,15,Disputa suelo,,4,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:43:44,00:43:44,0.000,15,Interceptado,,4,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Arquero,,00:44:37,00:44:37,0.000,3,Salida aerea,,1,Volver,Bueno,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:46:15,00:46:15,0.000,8,largo,9,2,14,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:47:25,00:47:25,0.000,3,S arquero pie,9,1,14,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:47:28,00:47:28,0.000,3,Interceptado,9,1,14,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:47:41,00:47:41,0.000,15,Lateral corto,7,4,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:47:43,00:47:43,0.000,15,corto,4,7,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:47:46,00:47:46,0.000,15,corto,2,4,9,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:47:50,00:47:50,0.000,9,corto,1,2,4,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:47:54,00:47:54,0.000,3,largo,9,1,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:47:56,00:47:56,0.000,3,Interceptado,9,1,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:47:57,00:47:57,0.000,17,Encontrada,,7,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:48:02,00:48:02,0.000,24,centro aereo,10,7,21,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:48:03,00:48:03,0.000,24,Interceptado,10,7,21,,,
