Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:32:01,00:32:01,0.000,7,Interceptado,,3,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:32:28,00:32:28,0.000,2,corto,1,2,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:32:32,00:32:32,0.000,3,largo,9,1,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:33:01,00:33:01,0.000,12,largo,Rival,10,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:33:01,00:33:01,0.000,12,Interceptado,,10,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:36:10,00:36:10,0.000,3,S arquero pie,9,1,18,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:36:10,00:36:10,0.000,3,Interceptado,,1,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:36:12,00:36:12,0.000,18,Hecha,,9,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:36:50,00:36:50,0.000,6,largo,9,4,12,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:36:51,00:36:51,0.000,12,Recibida,,9,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:37:20,00:37:20,0.000,15,corto,4,7,15,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:37:22,00:37:22,0.000,15,corto,7,4,15,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:37:22,00:37:22,0.000,15,Interceptado,,4,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:37:41,00:37:41,0.000,5,corto,1,5,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:37:43,00:37:43,0.000,3,medio,3,1,1,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:37:50,00:37:50,0.000,7,corto,2,3,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:38:03,00:38:03,0.000,8,corto,8,2,11,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:38:06,00:38:06,0.000,11,corto,7,8,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:38:09,00:38:09,0.000,14,corto,11,7,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:38:46,00:38:46,0.000,7,corto,9,3,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:38:48,00:38:48,0.000,10,corto,5,9,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:38:51,00:38:51,0.000,13,medio,7,5,16,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:39:55,00:39:55,0.000,7,corto,6,2,8,,
