Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Calificacion,Optional Column
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:57:55,00:57:55,0.000,12,Interceptado,9,8,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:58:17,00:58:17,0.000,10,Hecha,,9,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:58:50,00:58:50,0.000,3,S arquero pie,6,1,5,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:58:53,00:58:53,0.000,5,corto,4,6,6,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:59:17,00:59:17,0.000,12,largo,10,11,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:59:17,00:59:17,0.000,12,Interceptado,10,11,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:59:27,00:59:27,0.000,16,corto,3,10,19,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:59:32,00:59:32,0.000,16,corto,10,3,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:59:32,00:59:32,0.000,16,Interceptado,,3,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:59:44,00:59:44,0.000,13,medio,6,8,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:59:47,00:59:47,0.000,14,medio,4,6,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:59:53,00:59:53,0.000,18,centro aereo,9,4,21,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:59:54,00:59:54,0.000,18,Interceptado,,4,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,01:00:05,01:00:05,0.000,18,Hecha,,11,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:00:43,01:00:43,0.000,12,corto,5,7,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:00:44,01:00:44,0.000,12,corto,8,5,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:00:45,01:00:45,0.000,12,corto,5,8,9,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:00:45,01:00:45,0.000,12,corto,10,5,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:00:47,01:00:47,0.000,11,corto,2,10,8,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:00:49,01:00:49,0.000,8,corto,10,2,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,01:00:50,01:00:50,0.000,8,Interceptado,,2,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:00:59,01:00:59,0.000,8,corto,3,6,10,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:01:02,01:01:02,0.000,10,medio,9,3,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,01:01:03,01:01:03,0.000,10,Interceptado,,3,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,01:01:16,01:01:16,0.000,14,Recibida,,11,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:02:20,01:02:20,0.000,14,medio,1,4,8,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:02:25,01:02:25,0.000,8,largo,9,1,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,01:02:26,01:02:26,0.000,8,Interceptado,,1,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:03:30,01:03:30,0.000,10,largo,Rival,3,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,01:03:30,01:03:30,0.000,11,Interceptado,,3,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:04:35,01:04:35,0.000,5,S arquero pie,7,1,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:04:37,01:04:37,0.000,15,corto,10,7,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:04:38,01:04:38,0.000,15,corto,11,10,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:04:40,01:04:40,0.000,18,corto,7,11,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:04:42,01:04:42,0.000,18,corto,10,7,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:04:45,01:04:45,0.000,18,corto,11,10,24,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:04:48,01:04:48,0.000,24,centro aereo,9,11,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,01:04:48,01:04:48,0.000,24,Interceptado,,11,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,01:05:23,01:05:23,0.000,12,Recibida,,5,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,01:05:35,01:05:35,0.000,17,corto,10,7,14,,,
