Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:26:29,00:26:29,0.000,,8,5,2,,2,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:26:30,00:26:30,0.000,,1,3,5,,8,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:26:33,00:26:33,0.000,,10,5,3,,1,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:26:33,00:26:33,0.000,,Volver,,3,,1,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Arquero,,00:26:38,00:26:38,0.000,,Volver,,1,,4,Remate atajable,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:26:55,00:26:55,0.000,,14,8,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:26:57,00:26:57,0.000,,17,11,8,,14,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:27:00,00:27:00,0.000,,Volver,,11,,14,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:28:02,00:28:02,0.000,,13,9,1,,3,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:28:08,00:28:08,0.000,,13,11,9,,13,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:28:11,00:28:11,0.000,,21,10,11,,17,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:28:16,00:28:16,0.000,,21,9,10,,20,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:28:16,00:28:16,0.000,,Volver,,10,,20,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:28:21,00:28:21,0.000,,Volver,,2,,13,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:29:02,00:29:02,0.000,,3,2,1,,3,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:29:05,00:29:05,0.000,,1,3,2,,2,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:29:09,00:29:09,0.000,,16,11,3,,1,largo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:29:09,00:29:09,0.000,,Volver,,3,,1,Balon afuera fondo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:29:50,00:29:50,0.000,,17,9,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:29:50,00:29:50,0.000,,Volver,,1,,3,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:30:03,00:30:03,0.000,,Volver,,7,,18,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Arquero,,00:31:53,00:31:53,0.000,Facil,Volver,,1,,9,Salvada/Atajada,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:32:02,00:32:02,0.000,,4,2,1,,4,S arquero mano,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:32:16,00:32:16,0.000,,18,7,2,,7,largo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:32:21,00:32:21,0.000,,22,9,7,,24,centro aereo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:32:22,00:32:22,0.000,,Volver,,7,,24,Atajada,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:32:58,00:32:58,0.000,,Volver,,11,,10,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:33:30,00:33:30,0.000,,17,11,1,,8,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:33:33,00:33:33,0.000,,20,9,11,,17,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:33:38,00:33:38,0.000,,16,10,9,,19,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:33:46,00:33:46,0.000,,Volver,,10,,19,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:34:49,00:34:49,0.000,,Volver,,9,,15,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:35:39,00:35:39,0.000,,Volver,,7,,18,Offside,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:36:22,00:36:22,0.000,,Volver,,8,,11,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:38:56,00:38:56,0.000,,17,11,9,,16,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:38:58,00:38:58,0.000,,18,7,9,,17,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:39:00,00:39:00,0.000,,21,9,7,,18,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:41:39,00:41:39,0.000,,Volver,,10,,1,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:42:15,00:42:15,0.000,,5,6,1,,3,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:42:21,00:42:21,0.000,,5,1,6,,6,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:42:26,00:42:26,0.000,,13,3,1,,4,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:42:28,00:42:28,0.000,,17,9,3,,13,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:42:28,00:42:28,0.000,,Volver,,3,,13,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:43:31,00:43:31,0.000,,7,3,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:43:35,00:43:35,0.000,,17,10,3,,7,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:43:38,00:43:38,0.000,,Volver,,3,,7,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:44:08,00:44:08,0.000,,8,1,2,,7,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:44:13,00:44:13,0.000,,18,7,1,,8,largo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:44:16,00:44:16,0.000,,Volver,,1,,8,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:45:20,00:45:20,0.000,,Volver,,2,,11,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:46:22,00:46:22,0.000,,8,1,5,,9,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:46:30,00:46:30,0.000,,18,7,1,,8,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:46:30,00:46:30,0.000,,Volver,,1,,8,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Tarjeta,,00:48:18,00:48:18,0.000,,Volver,,11,,23,Amarilla,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:04:11,01:04:11,0.000,,Volver,,4,,12,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:04:47,01:04:47,0.000,,22,9,11,,22,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Remate pie,,01:04:49,01:04:49,0.000,,22,Rival,9,,22,Corta distancia,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Gol ,,01:04:50,01:04:50,0.000,,Volver,,9,,22,Directa,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:06:28,01:06:28,0.000,,Volver,,3,,16,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:07:07,01:07:07,0.000,,Volver,,7,,14,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:08:17,01:08:17,0.000,,12,4,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:08:23,01:08:23,0.000,,Volver,,4,,12,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Arquero,,01:10:39,01:10:39,0.000,,Volver,,1,Bueno,6,Salvada/Atajada,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:10:47,01:10:47,0.000,,18,8,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:10:49,01:10:49,0.000,,Volver,,1,,3,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:13:03,01:13:03,0.000,,Volver,,7,,15,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Remate pie,,01:13:42,01:13:42,0.000,,22,Rival,9,,21,Corta distancia,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:13:42,01:13:42,0.000,,Volver,,9,,21,Balon afuera fondo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:14:02,01:14:02,0.000,,12,10,4,,12,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:14:07,01:14:07,0.000,,17,11,10,,14,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:14:07,01:14:07,0.000,,Volver,,10,,14,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:14:13,01:14:13,0.000,,14,10,8,,11,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:14:23,01:14:23,0.000,,Volver,,6,,1,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:16:22,01:16:22,0.000,,Volver,,9,,20,Offside,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:17:24,01:17:24,0.000,,2,2,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:17:31,01:17:31,0.000,,13,10,2,,7,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:17:30,01:17:30,0.000,,Volver,,2,,7,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:20:16,01:20:16,0.000,,10,10,5,,7,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:20:40,01:20:40,0.000,,4,6,2,,2,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:20:46,01:20:46,0.000,,18,7,6,,9,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:20:48,01:20:48,0.000,,Volver,,6,,9,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:21:12,01:21:12,0.000,,17,11,7,,15,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:21:15,01:21:15,0.000,,Volver,,7,,15,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:21:49,01:21:49,0.000,,Volver,,8,,11,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:23:39,01:23:39,0.000,,2,2,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:23:42,01:23:42,0.000,,7,3,2,,2,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:23:46,01:23:46,0.000,,16,11,3,,10,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:24:40,01:24:40,0.000,,16,11,10,,13,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Remate pie,,01:24:43,01:24:43,0.000,,22,Rival,11,,21,Corta distancia,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:24:43,01:24:43,0.000,,Volver,,11,,21,Atajada,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:24:53,01:24:53,0.000,,Volver,,2,,10,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Arquero,,01:25:49,01:25:49,0.000,,Volver,,1,Bueno,10,Salvada/Atajada,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:26:00,01:26:00,0.000,,15,7,1,,4,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:26:02,01:26:02,0.000,,Volver,,7,,15,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:26:30,01:26:30,0.000,,5,6,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:26:37,01:26:37,0.000,,17,9,6,,5,largo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:26:37,01:26:37,0.000,,Volver,,6,,5,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:27:56,01:27:56,0.000,,14,11,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:27:58,01:27:58,0.000,,Volver,,8,,17,Offside,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,01:28:47,01:28:47,0.000,,Volver,,6,,8,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Sustitucion,,01:30:04,01:30:04,0.000,,Volver,23,,,,,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:30:21,01:30:21,0.000,,15,10,23,,12,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Remate pie,,01:30:27,01:30:27,0.000,,22,Rival,10,,17,Corta distancia,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:30:27,01:30:27,0.000,,Volver,,10,,17,Atajada,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:32:28,01:32:28,0.000,,16,3,23,,17,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:32:33,01:32:33,0.000,,23,7,23,,20,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Remate pie,,01:32:33,01:32:33,0.000,,Volver,,7,,23,Corta distancia,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:32:34,01:32:34,0.000,,Volver,,7,,23,Balon afuera fondo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:33:00,01:33:00,0.000,,18,9,8,,17,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:33:03,01:33:03,0.000,,18,7,9,,18,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:33:09,01:33:09,0.000,,24,9,7,,18,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:33:11,01:33:11,0.000,,22,8,9,,24,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,01:33:13,01:33:13,0.000,,Volver,,9,,24,Balon afuera fondo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:33:55,01:33:55,0.000,,13,10,2,,16,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,01:33:56,01:33:56,0.000,,17,3,10,,13,corto,
