Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Dificultad,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:15:38,00:15:38,0.0,"30,86",corto,6,1.0,"9,7",,,938.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,30.285311375325037,8.935804621142312,86.19093458155716,7.198658450895616
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,falta,,00:16:44,00:16:44,0.0,"171,157",hecha,,3.0,,,,1004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,170.68207398541486,,157.41788034909794,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,falta,,00:18:01,00:18:01,0.0,"174,22",hecha,,10.0,,,,1081.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,173.8476469707779,,21.695146362830666,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:19:42,00:19:42,0.0,"9,83",s arquero pie,11,1.0,"172,71",,,1182.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0,8.96723328932146,172.30001246570149,82.90193541963973,71.25663655435301
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:19:44,00:19:44,0.0,"181,94",corto,7,11.0,"177,128",,,1184.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,180.53133572921388,177.06039640529195,93.67659955641926,127.56524095905101
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:19:46,00:19:46,0.0,"172,143",corto,4,7.0,"152,128",,,1186.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,172.20857813469402,151.7990264908685,142.8924690089466,127.61231030079092
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:19:57,00:19:57,0.0,"158,152",medio,9,4.0,"236,152",,,1197.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,157.64191140830047,236.3876299076398,152.42776076024208,151.93467045565228
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,perdida,,00:19:57,00:19:57,0.0,"150,155",interceptado,,4.0,,,,1197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150.33434058376312,,155.37514570915965,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:21:25,00:21:25,0.0,"149,154",medio,9,4.0,"234,62",,,1285.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,149.284636174178,233.74964768667277,153.50910016626486,61.6776014527518
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,remate cabeza,,00:21:27,00:21:27,0.0,"233,71",dificil,Rival,9.0,"259,62",,,1287.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,232.76199134550524,258.9831458078543,70.9990045697808,61.82517789300765
