Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Dificultad,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:10,00:18:10,0.0,"191,150",corto,8,6.0,"150,87",,,1090.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,190.6556861312895,149.61093261631234,149.86894470376063,87.05753537384372
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:12,00:18:12,0.0,"142,85",corto,4,8.0,"140,131",,,1092.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,141.51651448819283,140.27840273346823,84.81476526499614,130.99232766734553
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:14,00:18:14,0.0,"156,161",corto,7,4.0,"151,72",,,1094.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,156.15036533296166,150.50751669939078,161.37081130842137,72.13897572089023
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:19,00:18:19,0.0,"179,96",corto,2,7.0,"156,2",,,1099.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,179.38099577743594,156.1409182724653,96.00229158155912,2.0739492579087226
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:21,00:18:21,0.0,"163,6",medio,3,2.0,"197,21",,,1101.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,163.19342494081945,196.8542898447627,6.168700655705102,21.103309812658818
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:24,00:18:24,0.0,"207,26",centro aereo,9,3.0,"233,65",,,1104.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,207.15973208383176,232.5030636550476,26.41760100748729,64.96108411972037
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,remate cabeza,,00:18:31,00:18:31,0.0,"268,49",facil,Rival,9.0,"259,118",,,1111.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,268.3314017123628,258.9971263403153,49.122428337092416,118.0353114188602
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,perdida,,00:18:32,00:18:32,0.0,"237,30",interceptado,,9.0,,,,1112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,236.90962195747503,,30.471821695420207,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:57,00:18:57,0.0,"157,151",corto,8,6.0,"208,74",,,1137.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,157.30438287713645,207.51861771727928,150.94538891115647,74.05259307789795
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:59,00:18:59,0.0,"208,143",corto,10,8.0,"180,150",,,1139.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,208.24444848602525,179.74524344656103,143.0314978208913,150.14848899053612
