Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,coord.final,Jugador.2,Jugador.1,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,perdida,,00:35:16,00:35:16,0.0,,,,11.0,"262,158",interceptado,,2116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,262.06093909831293,,158.37580631083998,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:37:43,00:37:43,0.0,,"84,8",3,1.0,"11,86",medio,,2263.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,10.99788295404106,83.73408419953782,86.39742879687884,7.5280748884877
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,falta,,00:38:00,00:38:00,0.0,,,,11.0,"179,64",hecha,,2280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,179.06578720783955,,64.4347571017023,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:39:55,00:39:55,0.0,,"113,33",11,5.0,"70,2",corto,,2395.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,69.97487763991609,112.5998368042014,2.113343319788246,32.799515350621306
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:40:00,00:40:00,0.0,,"111,26",6,11.0,"105,41",corto,,2400.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,104.58876761933475,111.3060310472519,40.511110437588584,25.813472280137056
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:40:09,00:40:09,0.0,,"65,136",4,6.0,"58,17",medio,,2409.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,57.77878949788572,65.36678078736713,16.651171348583834,135.55640091292085
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:40:11,00:40:11,0.0,,"93,153",10,4.0,"118,139",corto,,2411.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,117.87946604095184,93.42500974463111,138.99998351470444,153.28344415767748
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,perdida,,00:40:11,00:40:11,0.0,,,,10.0,"88,140",interceptado,,2411.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,87.59480705811917,,140.47428931714424,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:40:43,00:40:43,0.0,,"212,146",9,1.0,"13,97",largo,,2443.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,13.217262195740602,212.3070127909414,97.46712981922832,145.61720276237742
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:40:44,00:40:44,0.0,,"209,124",10,9.0,"222,129",corto,,2444.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,222.13977746171747,209.40583710542248,128.59795916551678,123.81763801868156
