Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.final,Jugador.2,Calificacion,coord.inicial,Jugador.1,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:21:44,00:21:44,0.0,"147,4",3,,"86,141",2.0,medio,,1304.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,85.92173748643904,146.6780149934896,140.79663192880943,4.434943534476972
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:22:23,00:22:23,0.0,"206,24",11,,"156,22",3.0,corto,,1343.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,155.55962974307621,205.74978539098737,21.896452380529766,24.46353553725318
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,falta,,00:22:25,00:22:25,0.0,,,,"199,8",11.0,hecha,,1345.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,198.54030158413943,,7.627068215041646,
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:24:47,00:24:47,0.0,"215,157",9,,"144,132",7.0,corto,,1487.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,144.16252292114268,215.40500960079635,131.75983199790645,156.64040845429824
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:24:52,00:24:52,0.0,"215,144",7,,"213,126",9.0,corto,,1492.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,212.96597818072217,215.42024647808609,126.25158570798536,144.46916052474194
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:24:53,00:24:53,0.0,"189,78",10,,"187,155",7.0,corto,,1493.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,187.49888634298247,189.49255154632084,154.51777616774422,78.34790195460025
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,perdida,,00:24:54,00:24:54,0.0,,,,"208,156",7.0,interceptado,,1494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,207.97997351554184,,155.75817000430013,
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:25:08,00:25:08,0.0,"118,33",10,,"70,30",6.0,corto,,1508.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,70.42900782614755,117.56660278516006,29.93382060603644,32.590643537349024
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:25:10,00:25:10,0.0,"49,11",3,,"92,28",10.0,corto,,1510.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,91.58309453178569,48.55062746578703,28.034036042501985,11.157869600472006
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:25:14,00:25:14,0.0,"6,4",6,,"76,18",3.0,corto,,1514.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,75.58385164653048,5.72958388359595,17.712662830915146,3.8356861749578073
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:25:21,00:25:21,0.0,"84,144",4,,"37,37",6.0,medio,,1521.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,36.62819249760284,84.46193082569019,37.22556698728778,144.29662650549375
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,falta,,00:25:26,00:25:26,0.0,,,,"54,125",4.0,recibida,,1526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,53.85009587621528,,124.75348059016459,
