Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,Jugador.2,coord.final,Calificacion,coord.inicial,Jugador.1,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:34:06,00:34:06,0.0,,3,"172,5",,"154,32",5.0,corto,,2046.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,154.2402240245375,172.089949998744,32.453146913622845,5.219639590110443
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,perdida,,00:34:10,00:34:10,0.0,,,,,"181,31",7.0,interceptado,,2050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,181.4135632114948,,30.886278606210315,
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:34:15,00:34:15,0.0,,3,"106,17",,"88,100",2.0,corto,,2055.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,88.11286071469037,105.81247922025617,100.32335491564587,16.522043461286387
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:34:17,00:34:17,0.0,,6,"126,90",,"129,19",3.0,corto,,2057.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,128.6517725442733,126.33351401867523,19.490029403350142,90.4435832072769
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:34:23,00:34:23,0.0,,10,"260,150",,"115,69",6.0,largo,,2063.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,115.31529501264907,259.7934623186489,68.73066085592143,149.52627911516834
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,perdida,,00:34:26,00:34:26,0.0,,,,,"257,138",10.0,balon afuera lateral,,2066.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,257.0324604257637,,138.20090689864858,
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:35:55,00:35:55,0.0,,6,"6,34",,"3,83",1.0,s arquero pie,,2155.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.2252515508496575,5.709274605832325,83.27085384138049,33.8793737512473
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:36:00,00:36:00,0.0,,9,"152,38",,"24,8",6.0,largo,,2160.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,23.586899112509556,152.05040545560368,8.111795416990216,37.65567676845201
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:36:03,00:36:03,0.0,,3,"158,28",,"165,32",9.0,corto,,2163.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,165.14496772464432,158.40215329382573,31.79390404604937,28.44805594151654
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:36:06,00:36:06,0.0,,11,"223,43",,"174,24",3.0,medio,,2166.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,173.58847898107578,222.74545190404524,23.510709746505036,42.78619963056498
