Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Calificacion,Optional Column
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:21:50,00:21:56,6.000,4,largo,4,1,12,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pelota parada,,00:22:54,00:23:00,6.000,3,Saque de meta,2,1,5,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:22:57,00:23:03,6.000,5,medio,4,2,9,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:23:01,00:23:07,6.000,9,largo,11,4,15,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:23:03,00:23:09,6.000,15,Duelo,,11,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:23:35,00:23:41,6.000,8,intercepcion anticipo aereo,,3,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:23:48,00:23:54,6.000,8,medio,10,6,11,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:23:51,00:23:57,6.000,14,corto,7,10,13,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Duelo,,00:23:55,00:24:01,6.000,16,Gambeta a favor,,7,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Falta,,00:24:44,00:24:50,6.000,13,Recibida,,5,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:25:01,00:25:07,6.000,13,corto,2,5,11,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:25:05,00:25:11,6.000,11,medio,4,2,15,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:25:10,00:25:16,6.000,15,inteligente,11,4,24,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:25:11,00:25:17,6.000,15,Balon afuera fondo,11,4,23,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:25:42,00:25:48,6.000,14,Intercepcion aereo,,2,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:25:42,00:25:48,6.000,11,corto,10,2,11,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:25:44,00:25:50,6.000,11,Robo,,10,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:25:52,00:25:58,6.000,8,Intercepcion,,2,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:25:56,00:26:02,6.000,8,Robo,9,2,17,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Recuperacion,,00:26:13,00:26:19,6.000,8,intercepcion anticipo,,10,Volver,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Pase,,00:26:15,00:26:21,6.000,8,corto,4,10,9,,
2022/02/21,Fecha 1 vs Independiente,Primer tiempo,14:00:19,16:03:54,Perdida,,00:26:31,00:26:37,6.000,24,Robo,Rival,11,21,,
