Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:42:21,00:42:21,0.000,18,Recibida,,10,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Arquero,,00:45:11,00:45:11,0.000,6,Remate atajable,,1,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:45:24,00:45:24,0.000,3,S arquero mano,3,1,1,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:45:30,00:45:30,0.000,7,largo,9,3,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:45:33,00:45:33,0.000,16,Recibida,,9,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:49:14,00:49:14,0.000,9,corto,4,2,9,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:49:18,00:49:18,0.000,12,corto,7,4,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:49:21,00:49:21,0.000,12,Interceptado,,4,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:50:22,00:50:22,0.000,16,Recibida,,9,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:53:47,00:53:47,0.000,4,S arquero pie,11,1,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:53:50,00:53:50,0.000,16,corto,10,11,19,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:53:51,00:53:51,0.000,16,Balon afuera fondo,,11,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:54:16,00:54:16,0.000,10,Hecha,,6,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:55:19,00:55:19,0.000,10,corto,10,7,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:55:23,00:55:23,0.000,10,corto,9,10,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:56:07,00:56:07,0.000,13,Hecha,,6,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Sustitucion,,01:13:09,01:13:09,0.000,,,,,,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:13:11,01:13:11,0.000,11,corto,5,9,8,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:13:13,01:13:13,0.000,8,corto,14,5,9,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:13:17,01:13:17,0.000,9,largo,9,14,17,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:13:22,01:13:22,0.000,18,corto,8,7,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,01:13:25,01:13:25,0.000,15,medio,11,8,18,,
